,heapsort_notinplace,heapsort_inplace,mergesort_notinplace,mergesort_inplace,quicksort_notinplace,quicksort_inplace,python_sort
135,0.0002594000000044616,0.00026240000000399277,0.00028679999999781103,0.00022150000000031866,0.00011870000000069325,0.0001222999999999086,8.599999999914232e-06
136,0.0002594000000044616,0.00026240000000399277,0.00028679999999781103,0.00022150000000031866,0.00011870000000069325,0.0001222999999999086,8.599999999914232e-06
137,0.0002594000000044616,0.00026240000000399277,0.00028679999999781103,0.00022150000000031866,0.00011870000000069325,0.0001222999999999086,8.599999999914232e-06
138,0.0002594000000044616,0.00026240000000399277,0.00028679999999781103,0.00022150000000031866,0.00011870000000069325,0.0001222999999999086,8.599999999914232e-06
139,0.0002594000000044616,0.00026240000000399277,0.00028679999999781103,0.00022150000000031866,0.00011870000000069325,0.0001222999999999086,8.599999999914232e-06
140,0.0002594000000044616,0.00026240000000399277,0.00028679999999781103,0.00022150000000031866,0.00011870000000069325,0.0001222999999999086,8.599999999914232e-06
141,0.0002594000000044616,0.00026240000000399277,0.00028679999999781103,0.00022150000000031866,0.00011870000000069325,0.0001222999999999086,8.599999999914232e-06
142,0.0002594000000044616,0.00026240000000399277,0.00028679999999781103,0.00022150000000031866,0.00011870000000069325,0.0001222999999999086,8.599999999914232e-06
143,0.0002594000000044616,0.00026240000000399277,0.00028679999999781103,0.00022150000000031866,0.00011870000000069325,0.0001222999999999086,8.599999999914232e-06
144,0.0002594000000044616,0.00026240000000399277,0.00028679999999781103,0.00022150000000031866,0.00011870000000069325,0.0001222999999999086,8.599999999914232e-06
145,0.0002594000000044616,0.00026240000000399277,0.00028679999999781103,0.00022150000000031866,0.00011870000000069325,0.0001222999999999086,8.599999999914232e-06
146,0.0002594000000044616,0.00026240000000399277,0.00028679999999781103,0.00022150000000031866,0.00011870000000069325,0.0001222999999999086,8.599999999914232e-06
147,0.0002594000000044616,0.00026240000000399277,0.00028679999999781103,0.00022150000000031866,0.00011870000000069325,0.0001222999999999086,8.599999999914232e-06
148,0.0002594000000044616,0.00026240000000399277,0.00028679999999781103,0.00022150000000031866,0.00011870000000069325,0.0001222999999999086,8.599999999914232e-06
149,0.0002594000000044616,0.00026240000000399277,0.00028679999999781103,0.00022150000000031866,0.00011870000000069325,0.0001222999999999086,8.599999999914232e-06
150,0.0003525999999993701,0.0006582000000037169,0.000366100000000813,0.00029430000000019163,0.0001647000000000176,0.00011709999999998111,1.0099999999901854e-05
151,0.0003525999999993701,0.0006582000000037169,0.000366100000000813,0.00029430000000019163,0.0001647000000000176,0.00011709999999998111,1.0099999999901854e-05
152,0.0003525999999993701,0.0006582000000037169,0.000366100000000813,0.00029430000000019163,0.0001647000000000176,0.00011709999999998111,1.0099999999901854e-05
153,0.0003525999999993701,0.0006582000000037169,0.000366100000000813,0.00029430000000019163,0.0001647000000000176,0.00011709999999998111,1.0099999999901854e-05
154,0.0003525999999993701,0.0006582000000037169,0.000366100000000813,0.00029430000000019163,0.0001647000000000176,0.00011709999999998111,1.0099999999901854e-05
155,0.0003525999999993701,0.0006582000000037169,0.000366100000000813,0.00029430000000019163,0.0001647000000000176,0.00011709999999998111,1.0099999999901854e-05
156,0.0003525999999993701,0.0006582000000037169,0.000366100000000813,0.00029430000000019163,0.0001647000000000176,0.00011709999999998111,1.0099999999901854e-05
157,0.0003525999999993701,0.0006582000000037169,0.000366100000000813,0.00029430000000019163,0.0001647000000000176,0.00011709999999998111,1.0099999999901854e-05
158,0.0003525999999993701,0.0006582000000037169,0.000366100000000813,0.00029430000000019163,0.0001647000000000176,0.00011709999999998111,1.0099999999901854e-05
159,0.0003525999999993701,0.0006582000000037169,0.000366100000000813,0.00029430000000019163,0.0001647000000000176,0.00011709999999998111,1.0099999999901854e-05
160,0.0003525999999993701,0.0006582000000037169,0.000366100000000813,0.00029430000000019163,0.0001647000000000176,0.00011709999999998111,1.0099999999901854e-05
161,0.0003525999999993701,0.0006582000000037169,0.000366100000000813,0.00029430000000019163,0.0001647000000000176,0.00011709999999998111,1.0099999999901854e-05
162,0.0003525999999993701,0.0006582000000037169,0.000366100000000813,0.00029430000000019163,0.0001647000000000176,0.00011709999999998111,1.0099999999901854e-05
163,0.0003525999999993701,0.0006582000000037169,0.000366100000000813,0.00029430000000019163,0.0001647000000000176,0.00011709999999998111,1.0099999999901854e-05
164,0.0003525999999993701,0.0006582000000037169,0.000366100000000813,0.00029430000000019163,0.0001647000000000176,0.00011709999999998111,1.0099999999901854e-05
165,0.0003525999999993701,0.0006582000000037169,0.000366100000000813,0.00029430000000019163,0.0001647000000000176,0.00011709999999998111,1.0099999999901854e-05
166,0.0003525999999993701,0.0006582000000037169,0.000366100000000813,0.00029430000000019163,0.0001647000000000176,0.00011709999999998111,1.0099999999901854e-05
167,0.0003525999999993701,0.0006582000000037169,0.000366100000000813,0.00029430000000019163,0.0001647000000000176,0.00011709999999998111,1.0099999999901854e-05
168,0.0003525999999993701,0.0006582000000037169,0.000366100000000813,0.00029430000000019163,0.0001647000000000176,0.00011709999999998111,1.0099999999901854e-05
169,0.0003525999999993701,0.0006582000000037169,0.000366100000000813,0.00029430000000019163,0.0001647000000000176,0.00011709999999998111,1.0099999999901854e-05
